Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
DC1,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,33.655,-75.819,270,top
DC2,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,57.531,-75.819,270,top
DC3,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,76.581,-75.819,270,top
DC4,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,95.631,-75.819,270,top
DC5,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,114.681,-75.692,270,top
DC6,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,138.43,-75.946,270,top
DC7,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,157.48,-75.819,270,top
DC8,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,176.53,-75.819,270,top
DC9,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,195.58,-75.819,270,top
DC10,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,219.583,-75.819,270,top
DC11,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,238.633,-75.819,270,top
DC12,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,257.556,-75.819,270,top
DC13,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,276.606,-75.819,270,top
DC14,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,300.355,-75.819,270,top
DC15,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,33.655,-99.568,270,top
DC16,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,52.705,-99.568,270,top
DC17,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,71.755,-99.568,270,top
DC18,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,90.805,-99.568,270,top
DC19,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,109.855,-99.568,270,top
DC20,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,128.905,-99.568,270,top
DC21,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,147.955,-99.568,270,top
DC22,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,167.005,-99.568,270,top
DC23,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,186.055,-99.568,270,top
DC24,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,205.105,-99.568,270,top
DC25,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,224.155,-99.568,270,top
DC26,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,243.205,-99.568,270,top
DC27,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,262.255,-99.568,270,top
DC28,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,288.798,-96.647,180,top
DC29,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,333.629,-99.568,270,top
DC30,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,9.906,-99.568,270,top
DC31,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,39.37,-118.618,270,top
DC32,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,62.23,-118.618,270,top
DC33,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,81.28,-118.618,270,top
DC34,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,100.33,-118.618,270,top
DC35,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,119.38,-118.618,270,top
DC36,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,138.43,-118.618,270,top
DC37,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,157.48,-118.618,270,top
DC38,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,176.53,-118.618,270,top
DC39,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,195.58,-118.618,90,top
DC40,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,214.63,-118.618,270,top
DC41,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,233.68,-118.618,270,top
DC42,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,252.73,-118.618,270,top
DC43,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,271.78,-118.618,270,top
DC44,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,295.656,-118.618,270,top
DC45,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,333.629,-118.618,270,top
DC46,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,9.906,-118.618,270,top
DC47,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,42.037,-137.668,270,top
DC48,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,67.056,-137.668,270,top
DC49,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,86.106,-137.668,270,top
DC50,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,105.156,-137.668,270,top
DC51,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,124.206,-137.668,270,top
DC52,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,143.256,-137.668,270,top
DC53,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,162.306,-137.668,270,top
DC54,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,181.356,-137.668,270,top
DC55,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,200.406,-137.668,270,top
